Postcode;Locality;Municipality;Province;
1440;Braine-le-Château;BRAINE-LE-CHÂTEAU;Waals Brabant;
1440;Wauthier-Braine;BRAINE-LE-CHÂTEAU;Waals Brabant;
1450;Chastre-Villeroux-Blanmont;CHASTRE;Waals Brabant;
1450;Cortil-Noirmont;CHASTRE;Waals Brabant;
1450;Gentinnes;CHASTRE;Waals Brabant;
1450;Saint-Géry;CHASTRE;Waals Brabant;
1457;Nil-Saint-Vincent-Saint-Martin;WALHAIN;Waals Brabant;
1457;Tourinnes-Saint-Lambert;WALHAIN;Waals Brabant;
1457;Walhain-Saint-Paul;WALHAIN;Waals Brabant;
1460;Ittre;ITTRE;Waals Brabant;
1460;Virginal-Samme;ITTRE;Waals Brabant;
1461;Haut-Ittre;ITTRE;Waals Brabant;
1470;Baisy-Thy;GENAPPE;Waals Brabant;
1470;Bousval;GENAPPE;Waals Brabant;
1470;Genappe;GENAPPE;Waals Brabant;
1471;Loupoigne;GENAPPE;Waals Brabant;
1472;Vieux-Genappe;GENAPPE;Waals Brabant;
1473;Glabais;GENAPPE;Waals Brabant;
1474;Ways;GENAPPE;Waals Brabant;
1476;Houtain-le-Val;GENAPPE;Waals Brabant;
1480;Clabecq;TUBIZE;Waals Brabant;
1480;Oisquercq;TUBIZE;Waals Brabant;
1480;Saintes;TUBIZE;Waals Brabant;
1480;Tubize;TUBIZE;Waals Brabant;
1490;Court-Saint-Etienne;COURT-SAINT-ETIENNE;Waals Brabant;
1495;Marbais;VILLERS-LA-VILLE;Waals Brabant;
1495;Mellery;VILLERS-LA-VILLE;Waals Brabant;
1495;Sart-Dames-Avelines;VILLERS-LA-VILLE;Waals Brabant;
1495;Tilly;VILLERS-LA-VILLE;Waals Brabant;
1495;Villers-la-Ville;VILLERS-LA-VILLE;Waals Brabant;
1500;Halle;HALLE;Vlaams Brabant;
1501;Buizingen;HALLE;Vlaams Brabant;
1502;Lembeek;HALLE;Vlaams Brabant;
1540;Herfelingen;HERNE;Vlaams Brabant;
1540;Herne;HERNE;Vlaams Brabant;
1541;Sint-Pieters-Kapelle;HERNE;Vlaams Brabant;
1547;Bever;BEVER;Vlaams Brabant;
1560;Hoeilaart;HOEILAART;Vlaams Brabant;
1570;Galmaarden;GALMAARDEN;Vlaams Brabant;
1570;Tollembeek;GALMAARDEN;Vlaams Brabant;
1570;Vollezele;GALMAARDEN;Vlaams Brabant;
1600;Oudenaken;SINT-PIETERS-LEEUW;Vlaams Brabant;
1600;Sint-Laureins-Berchem;SINT-PIETERS-LEEUW;Vlaams Brabant;
1600;Sint-Pieters-Leeuw;SINT-PIETERS-LEEUW;Vlaams Brabant;
1601;Ruisbroek;SINT-PIETERS-LEEUW;Vlaams Brabant;
1602;Vlezenbeek;SINT-PIETERS-LEEUW;Vlaams Brabant;
1620;Drogenbos;DROGENBOS;Vlaams Brabant;
1630;Linkebeek;LINKEBEEK;Vlaams Brabant;
1640;Sint-Genesius-Rode;SINT-GENESIUS-RODE;Vlaams Brabant;
1650;Beersel;BEERSEL;Vlaams Brabant;
1651;Lot;BEERSEL;Vlaams Brabant;
1652;Alsemberg;BEERSEL;Vlaams Brabant;
1653;Dworp;BEERSEL;Vlaams Brabant;
1654;Huizingen;BEERSEL;Vlaams Brabant;
1670;Bogaarden;PEPINGEN;Vlaams Brabant;
1670;Heikruis;PEPINGEN;Vlaams Brabant;
1670;Pepingen;PEPINGEN;Vlaams Brabant;
1671;Elingen;PEPINGEN;Vlaams Brabant;
1673;Beert;PEPINGEN;Vlaams Brabant;
1674;Bellingen;PEPINGEN;Vlaams Brabant;
1700;Dilbeek;DILBEEK;Vlaams Brabant;
1700;Sint-Martens-Bodegem;DILBEEK;Vlaams Brabant;
1700;Sint-Ulriks-Kapelle;DILBEEK;Vlaams Brabant;
1701;Itterbeek;DILBEEK;Vlaams Brabant;
1702;Groot-Bijgaarden;DILBEEK;Vlaams Brabant;
1703;Schepdaal;DILBEEK;Vlaams Brabant;
1730;Asse;ASSE;Vlaams Brabant;
1730;Bekkerzeel;ASSE;Vlaams Brabant;
1730;Kobbegem;ASSE;Vlaams Brabant;
1730;Mollem;ASSE;Vlaams Brabant;
1731;Relegem;ASSE;Vlaams Brabant;
1731;Zellik;ASSE;Vlaams Brabant;
1740;Ternat;TERNAT;Vlaams Brabant;
1741;Wambeek;TERNAT;Vlaams Brabant;
1742;Sint-Katherina-Lombeek;TERNAT;Vlaams Brabant;
1745;Mazenzele;OPWIJK;Vlaams Brabant;
1745;Opwijk;OPWIJK;Vlaams Brabant;
1750;Gaasbeek;LENNIK;Vlaams Brabant;
1750;Sint-Kwintens-Lennik;LENNIK;Vlaams Brabant;
1750;Sint-Martens-Lennik;LENNIK;Vlaams Brabant;
1755;Gooik;GOOIK;Vlaams Brabant;
1755;Kester;GOOIK;Vlaams Brabant;
1755;Leerbeek;GOOIK;Vlaams Brabant;
1755;Oetingen;GOOIK;Vlaams Brabant;
1760;Onze-Lieve-Vrouw-Lombeek;ROOSDAAL;Vlaams Brabant;
1760;Pamel;ROOSDAAL;Vlaams Brabant;
1760;Roosdaal;ROOSDAAL;Vlaams Brabant;
1760;Strijtem;ROOSDAAL;Vlaams Brabant;
1761;Borchtlombeek;ROOSDAAL;Vlaams Brabant;
1770;Liedekerke;LIEDEKERKE;Vlaams Brabant;
1780;Wemmel;WEMMEL;Vlaams Brabant;
1785;Brussegem;MERCHTEM;Vlaams Brabant;
1785;Hamme;MERCHTEM;Vlaams Brabant;
1785;Merchtem;MERCHTEM;Vlaams Brabant;
1790;Affligem;AFFLIGEM;Vlaams Brabant;
1790;Essene;AFFLIGEM;Vlaams Brabant;
1790;Hekelgem;AFFLIGEM;Vlaams Brabant;
1790;Teralfene;AFFLIGEM;Vlaams Brabant;
1800;Peutie;VILVOORDE;Vlaams Brabant;
1800;Vilvoorde;VILVOORDE;Vlaams Brabant;
1820;Melsbroek;STEENOKKERZEEL;Vlaams Brabant;
1820;Perk;STEENOKKERZEEL;Vlaams Brabant;
1820;Steenokkerzeel;STEENOKKERZEEL;Vlaams Brabant;
1830;Machelen;MACHELEN;Vlaams Brabant;
1831;Diegem;MACHELEN;Vlaams Brabant;
1840;Londerzeel;LONDERZEEL;Vlaams Brabant;
1840;Malderen;LONDERZEEL;Vlaams Brabant;
1840;Steenhuffel;LONDERZEEL;Vlaams Brabant;
1850;Grimbergen;GRIMBERGEN;Vlaams Brabant;
1851;Humbeek;GRIMBERGEN;Vlaams Brabant;
1852;Beigem;GRIMBERGEN;Vlaams Brabant;
1853;Strombeek-Bever;GRIMBERGEN;Vlaams Brabant;
1860;Meise;MEISE;Vlaams Brabant;
1861;Wolvertem;MEISE;Vlaams Brabant;
1880;Kapelle-op-den-Bos;KAPELLE-OP-DEN-BOS;Vlaams Brabant;
1880;Nieuwenrode;KAPELLE-OP-DEN-BOS;Vlaams Brabant;
1880;Ramsdonk;KAPELLE-OP-DEN-BOS;Vlaams Brabant;
1910;Berg;KAMPENHOUT;Vlaams Brabant;
1910;Buken;KAMPENHOUT;Vlaams Brabant;
1910;Kampenhout;KAMPENHOUT;Vlaams Brabant;
1910;Nederokkerzeel;KAMPENHOUT;Vlaams Brabant;
1930;Nossegem;ZAVENTEM;Vlaams Brabant;
1930;Zaventem;ZAVENTEM;Vlaams Brabant;
1932;Sint-Stevens-Woluwe;ZAVENTEM;Vlaams Brabant;
1933;Sterrebeek;ZAVENTEM;Vlaams Brabant;
1950;Kraainem;KRAAINEM;Vlaams Brabant;
1970;Wezembeek-Oppem;WEZEMBEEK-OPPEM;Vlaams Brabant;
1980;Eppegem;ZEMST;Vlaams Brabant;
1980;Zemst;ZEMST;Vlaams Brabant;
1981;Hofstade;ZEMST;Vlaams Brabant;
1982;Elewijt;ZEMST;Vlaams Brabant;
1982;Weerde;ZEMST;Vlaams Brabant;
3000;Leuven;LEUVEN;Vlaams Brabant;
3001;Heverlee;LEUVEN;Vlaams Brabant;
3010;Kessel Lo;LEUVEN;Vlaams Brabant;
3012;Wilsele;LEUVEN;Vlaams Brabant;
3018;Wijgmaal;LEUVEN;Vlaams Brabant;
3020;Herent;HERENT;Vlaams Brabant;
3020;Veltem-Beisem;HERENT;Vlaams Brabant;
3020;Winksele;HERENT;Vlaams Brabant;
3040;Huldenberg;HULDENBERG;Vlaams Brabant;
3040;Loonbeek;HULDENBERG;Vlaams Brabant;
3040;Neerijse;HULDENBERG;Vlaams Brabant;
3040;Ottenburg;HULDENBERG;Vlaams Brabant;
3040;Sint-Agatha-Rode;HULDENBERG;Vlaams Brabant;
3050;Oud-Heverlee;OUD-HEVERLEE;Vlaams Brabant;
3051;Sint-Joris-Weert;OUD-HEVERLEE;Vlaams Brabant;
3052;Blanden;OUD-HEVERLEE;Vlaams Brabant;
3053;Haasrode;OUD-HEVERLEE;Vlaams Brabant;
3054;Vaalbeek;OUD-HEVERLEE;Vlaams Brabant;
3060;Bertem;BERTEM;Vlaams Brabant;
3060;Korbeek-Dijle;BERTEM;Vlaams Brabant;
3061;Leefdaal;BERTEM;Vlaams Brabant;
3070;Kortenberg;KORTENBERG;Vlaams Brabant;
3071;Erps-Kwerps;KORTENBERG;Vlaams Brabant;
3078;Everberg;KORTENBERG;Vlaams Brabant;
3078;Meerbeek;KORTENBERG;Vlaams Brabant;
3080;Duisburg;TERVUREN;Vlaams Brabant;
3080;Tervuren;TERVUREN;Vlaams Brabant;
3080;Vossem;TERVUREN;Vlaams Brabant;
3090;Overijse;OVERIJSE;Vlaams Brabant;
3110;Rotselaar;ROTSELAAR;Vlaams Brabant;
3111;Wezemaal;ROTSELAAR;Vlaams Brabant;
3118;Werchter;ROTSELAAR;Vlaams Brabant;
3120;Tremelo;TREMELO;Vlaams Brabant;
3128;Baal;TREMELO;Vlaams Brabant;
3130;Begijnendijk;BEGIJNENDIJK;Vlaams Brabant;
3130;Betekom;BEGIJNENDIJK;Vlaams Brabant;
3140;Keerbergen;KEERBERGEN;Vlaams Brabant;
3150;Haacht;HAACHT;Vlaams Brabant;
3150;Tildonk;HAACHT;Vlaams Brabant;
3150;Wespelaar;HAACHT;Vlaams Brabant;
3190;Boortmeerbeek;BOORTMEERBEEK;Vlaams Brabant;
3191;Hever;BOORTMEERBEEK;Vlaams Brabant;
3200;Aarschot;AARSCHOT;Vlaams Brabant;
3200;Gelrode;AARSCHOT;Vlaams Brabant;
3201;Langdorp;AARSCHOT;Vlaams Brabant;
3202;Rillaar;AARSCHOT;Vlaams Brabant;
3210;Linden;LUBBEEK;Vlaams Brabant;
3210;Lubbeek;LUBBEEK;Vlaams Brabant;
3211;Binkom;LUBBEEK;Vlaams Brabant;
3212;Pellenberg;LUBBEEK;Vlaams Brabant;
3220;Holsbeek;HOLSBEEK;Vlaams Brabant;
3220;Kortrijk-Dutsel;HOLSBEEK;Vlaams Brabant;
3220;Sint-Pieters-Rode;HOLSBEEK;Vlaams Brabant;
3221;Nieuwrode;HOLSBEEK;Vlaams Brabant;
3270;Scherpenheuvel;SCHERPENHEUVEL-ZICHEM;Vlaams Brabant;
3271;Averbode;SCHERPENHEUVEL-ZICHEM;Vlaams Brabant;
3271;Zichem;SCHERPENHEUVEL-ZICHEM;Vlaams Brabant;
3272;Messelbroek;SCHERPENHEUVEL-ZICHEM;Vlaams Brabant;
3272;Testelt;SCHERPENHEUVEL-ZICHEM;Vlaams Brabant;
3290;Deurne;DIEST;Vlaams Brabant;
3290;Diest;DIEST;Vlaams Brabant;
3290;Schaffen;DIEST;Vlaams Brabant;
3290;Webbekom;DIEST;Vlaams Brabant;
3293;Kaggevinne;DIEST;Vlaams Brabant;
3294;Molenstede;DIEST;Vlaams Brabant;
3300;Bost;TIENEN;Vlaams Brabant;
3300;Goetsenhoven;TIENEN;Vlaams Brabant;
3300;Hakendover;TIENEN;Vlaams Brabant;
3300;Kumtich;TIENEN;Vlaams Brabant;
3300;Oorbeek;TIENEN;Vlaams Brabant;
3300;Oplinter;TIENEN;Vlaams Brabant;
3300;Sint-Margriete-Houtem;TIENEN;Vlaams Brabant;
3300;Tienen;TIENEN;Vlaams Brabant;
3300;Vissenaken;TIENEN;Vlaams Brabant;
3320;Hoegaarden;HOEGAARDEN;Vlaams Brabant;
3320;Meldert;HOEGAARDEN;Vlaams Brabant;
3321;Outgaarden;HOEGAARDEN;Vlaams Brabant;
3350;Drieslinter;LINTER;Vlaams Brabant;
3350;Linter;LINTER;Vlaams Brabant;
3350;Melkwezer;LINTER;Vlaams Brabant;
3350;Neerhespen;LINTER;Vlaams Brabant;
3350;Neerlinter;LINTER;Vlaams Brabant;
3350;Orsmaal-Gussenhoven;LINTER;Vlaams Brabant;
3350;Overhespen;LINTER;Vlaams Brabant;
3350;Wommersom;LINTER;Vlaams Brabant;
3360;Bierbeek;BIERBEEK;Vlaams Brabant;
3360;Korbeek-Lo;BIERBEEK;Vlaams Brabant;
3360;Lovenjoel;BIERBEEK;Vlaams Brabant;
3360;Opvelp;BIERBEEK;Vlaams Brabant;
3370;Boutersem;BOUTERSEM;Vlaams Brabant;
3370;Kerkom;BOUTERSEM;Vlaams Brabant;
3370;Neervelp;BOUTERSEM;Vlaams Brabant;
3370;Roosbeek;BOUTERSEM;Vlaams Brabant;
3370;Vertrijk;BOUTERSEM;Vlaams Brabant;
3370;Willebringen;BOUTERSEM;Vlaams Brabant;
3380;Bunsbeek;GLABBEEK;Vlaams Brabant;
3380;Glabbeek;GLABBEEK;Vlaams Brabant;
3381;Kapellen;GLABBEEK;Vlaams Brabant;
3384;Attenrode;GLABBEEK;Vlaams Brabant;
3390;Houwaart;TIELT-WINGE;Vlaams Brabant;
3390;Sint-Joris-Winge;TIELT-WINGE;Vlaams Brabant;
3390;Tielt;TIELT-WINGE;Vlaams Brabant;
3391;Meensel-Kiezegem;TIELT-WINGE;Vlaams Brabant;
3400;Eliksem;LANDEN;Vlaams Brabant;
3400;Ezemaal;LANDEN;Vlaams Brabant;
3400;Laar;LANDEN;Vlaams Brabant;
3400;Landen;LANDEN;Vlaams Brabant;
3400;Neerwinden;LANDEN;Vlaams Brabant;
3400;Overwinden;LANDEN;Vlaams Brabant;
3400;Rumsdorp;LANDEN;Vlaams Brabant;
3400;Wange;LANDEN;Vlaams Brabant;
3401;Waasmont;LANDEN;Vlaams Brabant;
3401;Walsbets;LANDEN;Vlaams Brabant;
3401;Walshoutem;LANDEN;Vlaams Brabant;
3401;Wezeren;LANDEN;Vlaams Brabant;
3404;Attenhoven;LANDEN;Vlaams Brabant;
3404;Neerlanden;LANDEN;Vlaams Brabant;
3440;Budingen;ZOUTLEEUW;Vlaams Brabant;
3440;Dormaal;ZOUTLEEUW;Vlaams Brabant;
3440;Halle-Booienhoven;ZOUTLEEUW;Vlaams Brabant;
3440;Helen-Bos;ZOUTLEEUW;Vlaams Brabant;
3440;Zoutleeuw;ZOUTLEEUW;Vlaams Brabant;
3450;Geetbets;GEETBETS;Vlaams Brabant;
3450;Grazen;GEETBETS;Vlaams Brabant;
3454;Rummen;GEETBETS;Vlaams Brabant;
3460;Assent;BEKKEVOORT;Vlaams Brabant;
3460;Bekkevoort;BEKKEVOORT;Vlaams Brabant;
3461;Molenbeek-Wersbeek;BEKKEVOORT;Vlaams Brabant;
3470;Kortenaken;KORTENAKEN;Vlaams Brabant;
3470;Ransberg;KORTENAKEN;Vlaams Brabant;
3470;Sint-Margriete-Houtem;KORTENAKEN;Vlaams Brabant;
3471;Hoeleden;KORTENAKEN;Vlaams Brabant;
3472;Kersbeek-Miskom;KORTENAKEN;Vlaams Brabant;
3473;Waanrode;KORTENAKEN;Vlaams Brabant;
2000;Antwerpen;ANTWERPEN;Antwerpen;
2018;Antwerpen;ANTWERPEN;Antwerpen;
2020;Antwerpen;ANTWERPEN;Antwerpen;
2030;Antwerpen;ANTWERPEN;Antwerpen;
2040;Antwerpen;ANTWERPEN;Antwerpen;
2040;Berendrecht;ANTWERPEN;Antwerpen;
2040;Lillo;ANTWERPEN;Antwerpen;
2040;Zandvliet;ANTWERPEN;Antwerpen;
2050;Antwerpen;ANTWERPEN;Antwerpen;
2060;Antwerpen;ANTWERPEN;Antwerpen;
2070;Burcht;ZWIJNDRECHT;Antwerpen;
2070;Zwijndrecht;ZWIJNDRECHT;Antwerpen;
2100;Deurne;ANTWERPEN;Antwerpen;
2110;Wijnegem;WIJNEGEM;Antwerpen;
2140;Borgerhout;ANTWERPEN;Antwerpen;
2150;Borsbeek;BORSBEEK;Antwerpen;
2160;Wommelgem;WOMMELGEM;Antwerpen;
2170;Merksem;ANTWERPEN;Antwerpen;
2180;Ekeren;ANTWERPEN;Antwerpen;
2200;Herentals;HERENTALS;Antwerpen;
2200;Morkhoven;HERENTALS;Antwerpen;
2200;Noorderwijk;HERENTALS;Antwerpen;
2220;Hallaar;HEIST-OP-DEN-BERG;Antwerpen;
2220;Heist-op-den-Berg;HEIST-OP-DEN-BERG;Antwerpen;
2221;Booischot;HEIST-OP-DEN-BERG;Antwerpen;
2222;Itegem;HEIST-OP-DEN-BERG;Antwerpen;
2222;Wiekevorst;HEIST-OP-DEN-BERG;Antwerpen;
2223;Schriek;HEIST-OP-DEN-BERG;Antwerpen;
2230;Herselt;HERSELT;Antwerpen;
2230;Ramsel;HERSELT;Antwerpen;
2235;Houtvenne;HULSHOUT;Antwerpen;
2235;Hulshout;HULSHOUT;Antwerpen;
2235;Westmeerbeek;HULSHOUT;Antwerpen;
2240;Massenhoven;ZANDHOVEN;Antwerpen;
2240;Viersel;ZANDHOVEN;Antwerpen;
2240;Zandhoven;ZANDHOVEN;Antwerpen;
2242;Pulderbos;ZANDHOVEN;Antwerpen;
2243;Pulle;ZANDHOVEN;Antwerpen;
2250;Olen;OLEN;Antwerpen;
2260;Oevel;WESTERLO;Antwerpen;
2260;Tongerlo;WESTERLO;Antwerpen;
2260;Westerlo;WESTERLO;Antwerpen;
2260;Zoerle-Parwijs;WESTERLO;Antwerpen;
2270;Herenthout;HERENTHOUT;Antwerpen;
2275;Gierle;LILLE;Antwerpen;
2275;Lille;LILLE;Antwerpen;
2275;Poederlee;LILLE;Antwerpen;
2275;Wechelderzande;LILLE;Antwerpen;
2280;Grobbendonk;GROBBENDONK;Antwerpen;
2288;Bouwel;GROBBENDONK;Antwerpen;
2290;Vorselaar;VORSELAAR;Antwerpen;
2300;Turnhout;TURNHOUT;Antwerpen;
2310;Rijkevorsel;RIJKEVORSEL;Antwerpen;
2320;Hoogstraten;HOOGSTRATEN;Antwerpen;
2321;Meer;HOOGSTRATEN;Antwerpen;
2322;Minderhout;HOOGSTRATEN;Antwerpen;
2323;Wortel;HOOGSTRATEN;Antwerpen;
2328;Meerle;HOOGSTRATEN;Antwerpen;
2330;Merksplas;MERKSPLAS;Antwerpen;
2340;Beerse;BEERSE;Antwerpen;
2340;Vlimmeren;BEERSE;Antwerpen;
2350;Vosselaar;VOSSELAAR;Antwerpen;
2360;Oud-Turnhout;OUD-TURNHOUT;Antwerpen;
2370;Arendonk;ARENDONK;Antwerpen;
2380;Ravels;RAVELS;Antwerpen;
2381;Weelde;RAVELS;Antwerpen;
2382;Poppel;RAVELS;Antwerpen;
2387;Baarle-Hertog;BAARLE-HERTOG;Antwerpen;
2390;Malle;MALLE;Antwerpen;
2390;Oostmalle;MALLE;Antwerpen;
2390;Westmalle;MALLE;Antwerpen;
2400;Mol;MOL;Antwerpen;
2430;Eindhout;LAAKDAL;Antwerpen;
2430;Vorst;LAAKDAL;Antwerpen;
2431;Varendonk;LAAKDAL;Antwerpen;
2431;Veerle;LAAKDAL;Antwerpen;
2440;Geel;GEEL;Antwerpen;
2450;Meerhout;MEERHOUT;Antwerpen;
2460;Kasterlee;KASTERLEE;Antwerpen;
2460;Lichtaart;KASTERLEE;Antwerpen;
2460;Tielen;KASTERLEE;Antwerpen;
2470;Retie;RETIE;Antwerpen;
2480;Dessel;DESSEL;Antwerpen;
2490;Balen;BALEN;Antwerpen;
2491;Olmen;BALEN;Antwerpen;
2500;Koningshooikt;LIER;Antwerpen;
2500;Lier;LIER;Antwerpen;
2520;Broechem;RANST;Antwerpen;
2520;Emblem;RANST;Antwerpen;
2520;Oelegem;RANST;Antwerpen;
2520;Ranst;RANST;Antwerpen;
2530;Boechout;BOECHOUT;Antwerpen;
2531;Vremde;BOECHOUT;Antwerpen;
2540;Hove;HOVE;Antwerpen;
2547;Lint;LINT;Antwerpen;
2550;Kontich;KONTICH;Antwerpen;
2550;Waarloos;KONTICH;Antwerpen;
2560;Bevel;NIJLEN;Antwerpen;
2560;Kessel;NIJLEN;Antwerpen;
2560;Nijlen;NIJLEN;Antwerpen;
2570;Duffel;DUFFEL;Antwerpen;
2580;Beerzel;PUTTE;Antwerpen;
2580;Putte;PUTTE;Antwerpen;
2590;Berlaar;BERLAAR;Antwerpen;
2590;Gestel;BERLAAR;Antwerpen;
2600;Berchem;ANTWERPEN;Antwerpen;
2610;Wilrijk;ANTWERPEN;Antwerpen;
2620;Hemiksem;HEMIKSEM;Antwerpen;
2627;Schelle;SCHELLE;Antwerpen;
2630;Aartselaar;AARTSELAAR;Antwerpen;
2640;Mortsel;MORTSEL;Antwerpen;
2650;Edegem;EDEGEM;Antwerpen;
2660;Hoboken;ANTWERPEN;Antwerpen;
2800;Mechelen;MECHELEN;Antwerpen;
2800;Walem;MECHELEN;Antwerpen;
2801;Heffen;MECHELEN;Antwerpen;
2811;Hombeek;MECHELEN;Antwerpen;
2811;Leest;MECHELEN;Antwerpen;
